scenario,ssp585,ssp585,ssp585,ssp585,ssp585,ssp370,ssp370,ssp370,ssp370,ssp370,ssp245,ssp245,ssp245,ssp245,ssp126,ssp126,ssp126
ensMem,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r1i1p1f2,r3i1p1f2,r4i1p1f2
time,,,,,,,,,,,,,,,,,
1850-01-16 12:00:00,281.467416339962,281.54901102725535,280.79242087266545,281.00169904243114,281.55194520116794,281.467416339962,281.54901102725535,280.79242087266545,281.00169904243114,281.55194520116794,281.467416339962,281.54901102725535,280.79242087266545,281.00169904243114,281.467416339962,280.79242087266545,281.00169904243114
1850-02-15 00:00:00,281.608066815195,281.7030188361583,280.79894701236503,280.95572079277304,281.48080121026953,281.608066815195,281.7030188361583,280.79894701236503,280.95572079277304,281.48080121026953,281.608066815195,281.7030188361583,280.79894701236503,280.95572079277304,281.608066815195,280.79894701236503,280.95572079277304
1850-03-16 12:00:00,282.1094599362465,282.11901836847494,281.4066692464693,281.50315713717794,282.08355915068046,282.1094599362465,282.11901836847494,281.4066692464693,281.50315713717794,282.08355915068046,282.1094599362465,282.11901836847494,281.4066692464693,281.50315713717794,282.1094599362465,281.4066692464693,281.50315713717794
1850-04-16 00:00:00,283.0559453724177,283.1828515056271,282.3341318098199,282.9182844074805,283.12277270496963,283.0559453724177,283.1828515056271,282.3341318098199,282.9182844074805,283.12277270496963,283.0559453724177,283.1828515056271,282.3341318098199,282.9182844074805,283.0559453724177,282.3341318098199,282.9182844074805
1850-05-16 12:00:00,284.33047249078066,284.455657484633,283.5728004537517,284.1235544423274,284.10666617305753,284.33047249078066,284.455657484633,283.5728004537517,284.1235544423274,284.10666617305753,284.33047249078066,284.455657484633,283.5728004537517,284.1235544423274,284.33047249078066,283.5728004537517,284.1235544423274
1850-06-16 00:00:00,285.515046463114,285.4697638377572,284.7831431376453,285.25469932478785,285.28864044894664,285.515046463114,285.4697638377572,284.7831431376453,285.25469932478785,285.28864044894664,285.515046463114,285.4697638377572,284.7831431376453,285.25469932478785,285.515046463114,284.7831431376453,285.25469932478785
1850-07-16 12:00:00,285.88285930732866,286.19985784750793,285.5336822911894,285.62247020900156,285.7697519975101,285.88285930732866,286.19985784750793,285.5336822911894,285.62247020900156,285.7697519975101,285.88285930732866,286.19985784750793,285.5336822911894,285.62247020900156,285.88285930732866,285.5336822911894,285.62247020900156
1850-08-16 12:00:00,285.6117458124755,286.0491050964451,285.1125168717893,285.0797006042545,285.68086050579353,285.6117458124755,286.0491050964451,285.1125168717893,285.0797006042545,285.68086050579353,285.6117458124755,286.0491050964451,285.1125168717893,285.0797006042545,285.6117458124755,285.1125168717893,285.0797006042545
1850-09-16 00:00:00,284.7565017019001,285.14192140820285,284.2973794327427,284.4191197351198,284.5074942679611,284.7565017019001,285.14192140820285,284.2973794327427,284.4191197351198,284.5074942679611,284.7565017019001,285.14192140820285,284.2973794327427,284.4191197351198,284.7565017019001,284.2973794327427,284.4191197351198
1850-10-16 12:00:00,283.45505413327356,283.5805758404787,283.0364183700617,282.98071619911275,283.28518275573344,283.45505413327356,283.5805758404787,283.0364183700617,282.98071619911275,283.28518275573344,283.45505413327356,283.5805758404787,283.0364183700617,282.98071619911275,283.45505413327356,283.0364183700617,282.98071619911275
1850-11-16 00:00:00,282.40946871274576,282.60498040442553,282.0655969040363,281.59068168680545,282.08815250906144,282.40946871274576,282.60498040442553,282.0655969040363,281.59068168680545,282.08815250906144,282.40946871274576,282.60498040442553,282.0655969040363,281.59068168680545,282.40946871274576,282.0655969040363,281.59068168680545
1850-12-16 12:00:00,281.7697214859967,281.85786598464085,281.1722033391174,280.80914138141327,281.26980274952473,281.7697214859967,281.85786598464085,281.1722033391174,280.80914138141327,281.26980274952473,281.7697214859967,281.85786598464085,281.1722033391174,280.80914138141327,281.7697214859967,281.1722033391174,280.80914138141327
1851-01-16 12:00:00,281.66434334792956,281.30811043931203,281.0170798187878,280.94019558792724,281.33161715304965,281.66434334792956,281.30811043931203,281.0170798187878,280.94019558792724,281.33161715304965,281.66434334792956,281.30811043931203,281.0170798187878,280.94019558792724,281.66434334792956,281.0170798187878,280.94019558792724
